referencia;nombre_actual;nombre_nuevo;categoria;archivo_imagen;pagina_pdf;nota
CAD-001;Cadena 01;;Cadenas;cadena-01.jpg;2;
CAD-002;Cadena 02;;Cadenas;cadena-02.jpg;2;
CAD-003;Cadena 03;;Cadenas;cadena-03.jpg;2;
CAD-004;Cadena 04;;Cadenas;cadena-04.jpg;2;
CAD-005;Cadena 05;;Cadenas;cadena-05.jpg;3;
CAD-006;Cadena 06;;Cadenas;cadena-06.jpg;3;
CAD-007;Cadena 07;;Cadenas;cadena-07.jpg;3;
CAD-008;Cadena 08;;Cadenas;cadena-08.jpg;3;
CAD-009;Cadena 09;;Cadenas;cadena-09.jpg;4;
CAD-010;Cadena 10;;Cadenas;cadena-10.jpg;4;
CAD-011;Cadena 11;;Cadenas;cadena-11.jpg;4;
CAD-012;Cadena 12;;Cadenas;cadena-12.jpg;4;
CAD-013;Cadena 13;;Cadenas;cadena-13.jpg;5;
CAD-014;Cadena 14;;Cadenas;cadena-14.jpg;5;
CAD-015;Cadena 15;;Cadenas;cadena-15.jpg;5;
CAD-016;Cadena 16;;Cadenas;cadena-16.jpg;5;
CAD-017;Cadena 17;;Cadenas;cadena-17.jpg;6;
CAD-018;Cadena 18;;Cadenas;cadena-18.jpg;6;
CAD-019;Cadena 19;;Cadenas;cadena-19.jpg;6;
CAD-020;Cadena 20;;Cadenas;cadena-20.jpg;6;
CAD-021;Cadena 21;;Cadenas;cadena-21.jpg;7;
CAD-022;Cadena 22;;Cadenas;cadena-22.jpg;7;
CAD-023;Cadena 23;;Cadenas;cadena-23.jpg;7;
CAD-024;Cadena 24;;Cadenas;cadena-24.jpg;7;
CAD-025;Cadena 25;;Cadenas;cadena-25.jpg;8;
CAD-026;Cadena 26;;Cadenas;cadena-26.jpg;8;
CAD-027;Cadena 27;;Cadenas;cadena-27.jpg;8;
CAD-028;Cadena 28;;Cadenas;cadena-28.jpg;8;
CAD-029;Cadena 29;;Cadenas;cadena-29.jpg;9;
CAD-030;Cadena 30;;Cadenas;cadena-30.jpg;9;
CAD-031;Cadena 31;;Cadenas;cadena-31.jpg;9;
